"","vtitle","vpoint","vreview"
"1598","해리 포터와 마법사의 돌","8","서클 최고경영자 둘을 엿먹이는 영화. 서클 안의 사람들은 모두 호호하하 즐겁기만하다. 하지만 주인공은 그렇지가 못하다. 잠재력은 높지만 할 줄 아는 것은 아무것도 없는 신입사원 백명 중의 한명일뿐. 서클러가 되기 위해 고군분투하지만 무엇인가 상황은 꼬여만간다. 그리고 결국 서클러가 되는데... 구글과 유튜브를 모티브로 한 것 같지만 사회비판적이라기 보단 기술로 인한 디스토피아적인 상황을 그려내고 있다. 그래서 회사이름이 서클이고 유튜브는 트루유가 된 거 같다. 그렇다고 서클이 무슨 일을 하는 회사인지는 정확히 모르겠고 트루유도 정확히는 유튜브가 아니다. 하지만 그와 상당히 닮았다. 사슴 킬러!! ㅎㅎ 왠지는 모르겠지만 디어헌터를 이 영화를 본 사람들에게 추천해주고 싶다."
"1599","검객","10","엄마랑 같이 봤씁니다 평점이 너무 안좋아서 볼려다가 안보려했는데 그냥 봤는데 너무 재밌게봤어요 저희는;;진심으로;;; 감동적이고 메세지도 좋고 갈 가돗 너무 이쁘고 액션도 좋고 연기도 좋고 전 다 좋았어요;;"
"1600","극장판 귀멸의 칼날: 무한열차편","6","이건...원작을 본 내 잘못을 탓할께...원작을 안봐야 좋은 영화"
"1601","루킹 글라스","6","기묘하게 잘 어울리는 빌 머레이와 OST."
"1602","극장판 귀멸의 칼날: 무한열차편","7","비급호러나 병맛을 좋아하는 취향이라 나름 재미나게 봤음 ㅎㅎㅎ호불호가 있겠지만,  한국에 드문 장르라 개취로는 굿"
"1603","클로젯","10","인생 영화중  한편이지요.  정말  살인적인  연기력과  빨려드는  스토리와 슬픔."
"1604","수상한 가족","10","개봉당시엔 말도안되서 저평가 받고 지금은 현실이 될거같으니 고평가받는듯"
"1605","톰과 제리","10","그냥 이런 영화 보면 눈물이 좔좔 흐른다다른 로맨스들과 클리셰는 비슷할 지언정 이런 잔잔한 감성은 확실히 다른 듯"
"1606","극장판 귀멸의 칼날: 무한열차편","10","넷플로 봤는데 3년간 본 영화 중 최고입니다.총과 전쟁이 주 스토리라 여자분들은 재미가 반감될수 있으나 남자분들은 강추 드립니다.북한이나 미국이나 뭐 정치적인 거는 다 떠나서....영상이 너무 좋습니다."
"1607","세자매","10","어미어마한 명작이다! 감동에 또 감동..이런 인생 명작 이제서야..2021년에야 봤다.."
"1608","해리 포터와 마법사의 돌","1","너무 역겹습니다 이런 일뽕에 차서 욱일기 사용하는 작가의 작품을 무비판적으로 수용하는 사람들이 너무 많다니 사람들이 점점 멍청해져 가는 것이 맞는 것 같습니다. 이거 보는 사람들 제발 정신 차리시고 책을 읽으시던지 산책을 하세요 제발 공부도 좀 하시고 운동도 하시는데 제발 일뽕 애니에 빠져서 정신 못 차리지만 마세요 연출 연기 스토리 영상미 OST 다 쓰레기 같습니다"
"1609","검객","10","분위기와 흐름이 자연스럽고 끝내 아름답고 사랑스러운 영화"
"1610","극장판 귀멸의 칼날: 무한열차편","10","한씬 한씬 궁금해서 계속 보게되는 영화.."
"1611","루킹 글라스","2","아 진짜 개는 건드리지 마라ㅡㅡ"
"1612","극장판 귀멸의 칼날: 무한열차편","7","일반인들이 알 수 없었던 소방관의 새로운 면모를 보여준 영화스토리가 전형적이긴 하나 볼 만은 하다"
"1613","클로젯","10","It’s not your fault."
"1614","수상한 가족","10","잼있네. 시간 가는 줄 모르고 봤어."
"1615","톰과 제리","6","불필요한 장면과 어설픈 개연성과대평가 받은 작품"
"1616","극장판 귀멸의 칼날: 무한열차편","1","25분 버텼다 ㅜ.ㅜ 너무 하노 진짜 ㅋㅋㅋ"
"1617","세자매","10","이 영화는 그냥 최고다... 몇번을 봐도 안 질리네"
"1618","해리 포터와 마법사의 돌","9","가볍게 보려했는데 연출과 코믹 케미 작렬"
"1619","검객","10","아니 이렇게 명작이 평점이 왜이리 낮음? 개 잼있는데.. 처음에 본것보다 두번째보니 명작이였네.."
"1620","극장판 귀멸의 칼날: 무한열차편","7","인종주의적 설정의 한계."
"1621","루킹 글라스","10","와 이런 영화가 있었어?.. 최근 신하균 배우님 연기에 빠져서 작품 찾다가 보게된영화 이건 장르가 뭐죠?.. SF 라고만 단정 짓기엔 미스터리 스릴러에 고어한 느낌도 있고 사회적 현실도 적절히 잘 반영된 블랙 코미디?.. 러닝 타임동안 이 영화의 온도차가 들쑥날쑥 하지만 전혀 이상하지 않은건 이캐릭터의 이배우들이 였기에 가능했던게 아닐까 정말 지구는 누가 지키죠? 여운이 오래 남아 몇번 더 찾아 보게 될듯 리메이크 희망해봅니다"
"1622","극장판 귀멸의 칼날: 무한열차편","8","스릴있는 영화지만 뻔한 스토리와 결말이 예상되는 내용 나쁜년 연기는 훌륭했다.발연기는 일품ㅋㅋ"
"1623","클로젯","10","김영광 잘생겼다"
"1624","수상한 가족","10","천재는 미친놈인 것 같아요"
"1625","톰과 제리","5","가족을 잃은 슬픔의 순간을 잘 전달하고 있는데, 전반적으로 무난하고 특색이 없다는 것이 단점이다."
"1626","극장판 귀멸의 칼날: 무한열차편","10","재밌습니다 작화가 좋아요"
"1627","세자매","10","남자가 눈물 흐르게 만들었네요"
"1628","해리 포터와 마법사의 돌","10","영화에서 연출된 모든 것이 서로 시너지를 내면서 작품을 완벽하게 만들었다 한가지 아쉬운건 내가 이 영화를 영화관에서 못 본거.."
"1629","검객","2","기대안하고 봤는데 너무 별로에요. 90년대에 복붙처럼 막 찍어댄 흔한 스릴러느낌. 괜찮은 소재였는데..감독이 못살렸어요. 소재가 너무 아깝습니다."
"1630","극장판 귀멸의 칼날: 무한열차편","1","뜬금 신파야 참겠는데... 1도 없는 개연성... 허술한 액션... 의미없이 감수하는 위험.... 못 봐줄정도다.... 차뒤에 서서 쏴도 되는걸 굳이 길막고 쏘다 피하고... 온갖 복선이 다 너무 튀어서 앞날이 너무 뻔한데 차 액션도 구려... 긴박감도 없고... 염정화 역할도 오바스럽고... 아니 이 배우들 가져다 이렇게 낭비하는게 ㅋㅋㅋㅋ 진짜 그것도 기술이다... 연출력이 진짜 대박임... 어쩜 이리 재미없게 만드는지... 너무 뻔하게 흘러가는데 인물들의 행동이 다 그냥 맹목적이다. 맹목적으로 착하고 나쁘고 선하고 정의감넘치고... 그와중에 반전들마저 어설프고... 액션은 속도감대신 축축쳐진다. 배기음이 강렬하다고 속도감이 붙는게 아님... 중학생 수준의 스토리에... 제일 문제는 감독의 연출... 찍어놓고 아까워서 늘어난 영화시간까지... 뭐 괜찮은게 하나도 없다..."
"1631","루킹 글라스","10","위트가 살아있는 추리영화이며 한사람의 선한마음만으로 감동을 주는 영화"
"1632","극장판 귀멸의 칼날: 무한열차편","10","2008년 개봉 당시 보고싶었던  그리고 청춘일때 봤다면 어떤 감정이 였을까 그리고 나에게 어떠한 영감을 줬을까2021년 지금. Bravo my life후회없이 도전하고 즐기며 성취하여 모든것을 사랑하라.그리고 벤저민처럼 나의 유산 기록은 꼭 남기자기록은 기억을 지배하니까"
"1633","클로젯","3","어차피 후속편 만들거였으면 세계관과 드라마에 대해 고민해보는게 좋지 않았겠어? 뭐 내용이 읍써도 너무 읍다야!"
"1634","수상한 가족","10","뻔한 눈물장전 결말일줄알았는데 그렇지았않아서 좋았다. 엄마의 소중함을 다시한번 느낀영화."
"1635","톰과 제리","8","일어날일은 일어난다면 미래의 파괴된 환경은 결국 일어났고 과거에 환경이 망가지던 덜 망가지던 미래의 파괴된 환경은 이미 일어난 일인데 왜 굳이 미래인이 과거에 관여하려한건지 좀 이해가 안되네"
"1636","극장판 귀멸의 칼날: 무한열차편","1","커쇼를 향해 가즈아~~~~!"
"1637","세자매","8","기예르모 델 토로의 잔혹동화."
"1638","해리 포터와 마법사의 돌","10","두번 봤는데 존잼 ㅠㅠ ㅋㅋㅋ"
"1639","검객","8","러닝타임 내내 스토리, 영상미, 연기 등등 쩔던데 갑자기 훅 꺼져버리고 끝난 느낌... 근데 속편 제작 계획이었다고? 기다린다.."
"1640","극장판 귀멸의 칼날: 무한열차편","10",""
"1641","루킹 글라스","10","나도 누군가가 내 마음을 분해하고 고쳐줬으면 좋겠네...."
"1642","극장판 귀멸의 칼날: 무한열차편","10","왜 2021년도에 봤을까요.. 단순한 멜로를 넘어선.. 또 보고 또 보고 있어요 ㅎㅎ 물론 영어공부 위해서 보기 시작했지만, 이 영화 스크립트 다 외우기 목표입니댜??"
"1643","클로젯","10","넷플릭스에서 시리즈를 하루만에 완주하고...다음스토리 너무 궁금해서 극장판 봤습니다. 너무 잼나요ㅠㅠ 정말 십여년만에 보는 일본 애니인데 귀멸의 칼날은 정말 완벽해요. 영화 보고 난 다음 내용도 궁금해서 e북 만화책 구매했어요. 완결이 났다고 하니 기절시켜서 깨워달라고 할 필요없이 안심하고 정주행 가능할거 같아요."
"1644","수상한 가족","2","연출...스토리...다별로입니다.진짜 별로다"
"1645","톰과 제리","6","전종서 연기보려고 계속봄"
"1646","극장판 귀멸의 칼날: 무한열차편","10",""
"1647","세자매","2","돈주고보기 아까웠습니다.cg는 외국 큰자본 영화의 cg에 크게 떨어지지않았습니다. 근데 내용이...."
"1648","해리 포터와 마법사의 돌","9","느리지만 강한 메시지연기와 연출 흠잡을데 없어요"
"1649","검객","10","박해수 너무 안죽는거 빼곤 볼만했음"
"1650","극장판 귀멸의 칼날: 무한열차편","10",""
"1651","루킹 글라스","10","왜 그냥 무덤덤하게본 영화 한편에 눈물이 나는건지  ... 벤자민이라는 단어만 상기시켜도 그냥 가슴이 저릿하다"
"1652","극장판 귀멸의 칼날: 무한열차편","7","너 스스로를 가두지 마. 한번 더 망설이면 끝이다"
"1653","클로젯","2","여자는 피해자 남자는 가해자 ㅇㅂ하고 자빠졌네 ㅉㅉㅉ"
"1654","수상한 가족","10",""
"1655","톰과 제리","1","말같지도 않은 설정..."
"1656","극장판 귀멸의 칼날: 무한열차편","1","너무 밋밋하고 잔잔하네요  이런 스토리를 이렇게 교과서처럼 무미건조하게 만드는 것도 능력입니다  감독이나 연기자 모두 아쉬움이 많네요  특히 여주인공의 행동이 전혀 개연성이 없네요  경찰에 신고하지도 않고 남주인공을 왜 그냥 믿어버리는건지  도무지 영화에 몰입이 되지 않음 절제를 너무 하다보니 영화를 절단을 내놨네"
"1657","세자매","10","오늘부터 내인생의 인생영화가 늘었다!진짜  사람은 배워야하고 나아가야한다는것도 다시금  뼈저리게 느꼈고!  헝그리정신ㆍ부정으로는 못할것이 없다는것도  이 영화를 보며 느꼈다!요새같은 힘든시기에 정말 내삶을 되돌아보게하는 명작을 보게되어  넘감사하다^^"
"1658","해리 포터와 마법사의 돌","5","김희원은연기 참 맛깔나게 한다"
"1659","검객","4","전형적인 스포츠 영화를 보여주는데, 캐릭터들이 생각만큼 인상적이진 않아서 몰입하기가 쉽진 않다."
"1660","극장판 귀멸의 칼날: 무한열차편","10","스릴러 끝판왕 연기 연출 모두 최고"
"1661","루킹 글라스","10","이제 더 이상 이런 영화는 중국에서 기대할 수 없다."
"1662","극장판 귀멸의 칼날: 무한열차편","10","아주 많은 생각을 하게 해주는 영화. cg나 장소이동에 필요없이 배우 캐스팅에 제작비를 몰빵한 영화.소소한 웃음거리가 이어지고 철학적 사색이 포함된 영화"
"1663","클로젯","7","역시 분수대 키스신은 역대급이다. 단지, 그것뿐이었다."
"1664","수상한 가족","10",""
"1665","톰과 제리","8","2d연출은 어색하지 않게 잘나타냈지만 스토리가 지루한부분이 없지않아 있습니다"
"1666","극장판 귀멸의 칼날: 무한열차편","8","간만에 좋은 영화 일것 같았는데.... 흐름이 너무 끊어지네요. 영상은 너무 아름 다운데~스토리가 조금더 깊었으면 너무 좋았겠어요. 아쉽다. 너무 아쉽다.이런 영화 좀더 나왔으면 좋겠네요~^^"
"1667","세자매","10","2가 나오기를 기다립니다 ㅜ ㅜ"
"1668","해리 포터와 마법사의 돌","9","갓버트드니로.. 내 마음이 다 편해지네"
"1669","검객","8","권총 2정 만으로 선사하는 예술의 극한"
"1670","극장판 귀멸의 칼날: 무한열차편","1","보다가 잠들었음 개노잼"
"1671","루킹 글라스","10","진짜 한 두세번 본거 처음이에요 이 영화에 대해 아무것도 모르는 친구랑 봤는데 친구도 재밌게 보고 눈물도 흘렸을 정도로 정말 감동적이고 재미있는 영화에요 특히 액션이 뛰어납니다.... 애니메이터 분들 손목이 걱정 될 정도입니다..."
"1672","극장판 귀멸의 칼날: 무한열차편","5","성장형 먼치킨 드라마 한편 본듯"
"1673","클로젯","10","영화 채널에서 처음부터 하길래 틀어놓고 뭐 먹으면서 봤는데 재밌어서 다 먹고부터는 몰입해서 봤네요. 쟁쟁한 배우들에 스토리가 조금 뻔하다면 뻔할 수 있지만 세조 실록에 나온 글을 토대로 이런 영화를 만들다니 신박하다는 생각이 들었습니다. 요즘 한국사 공부하는데 좀 지루하다가도 이런 역사 관련 재밌는 영화보면 공부할 맛도 나고 어디까지가 사실일까 생각도 해볼수 있어서 좋았습니다. 역사적 내용에 웃음코드 약간의 슬픈코드 다 있어서 재밌게 본 영화입니다!"
